domain,agency,status,redirect,valid,sitemap,allowed,source
euusosh.org,"Department of Labor",200,"https://euusosh.org/robots.txt",true,"https://euusosh.org/sitemap.xml",true,robots.txt
epolicyworks.org,"Department of Labor",200,"https://epolicyworks.org/robots.txt",true,"null",true,robots.txt
cityofmobile.gov,"City of Mobile, AL",200,"https://www.cityofmobile.gov/robots.txt",true,"null",true,robots.txt
jctalentworks.com,"Department of Labor",404,"https://info.joinjobcorps.com/searchcareers",false,"null",false,undefined
alx.org,"Department of Labor",202,"https://www.careeronestop.org/Credentials/default.aspx",false,"null",false,false
capeyouth.org,"Department of Labor",200,"https://capeyouth.org/robots.txt",true,"null",true,robots.txt
acinet.org,"Department of Labor",202,"https://www.careeronestop.org/Toolkit/ACINet.aspx",false,"null",false,false
protectivedns.net,"Department of Homeland Security",403,"https://www.protectivedns.cisa.gov/",false,"null",false,undefined
cyberstorm8.com,"Department of Homeland Security",500,"http://www.cyberstorm8.com/",false,"null",false,undefined
vetmedinfo.net,"Department of Health and Human Services",500,"http://www.vetmedinfo.net/",false,"null",false,undefined
vetmed.wiki,"Department of Health and Human Services",500,"http://www.vetmed.wiki/",false,"null",false,undefined
worklife4you.com,"Department of Health and Human Services",200,"https://www.worklife4you.com/robots.txt",true,"null",true,robots.txt
vaccinefinder.org,"Department of Health and Human Services",200,"https://vaccinefinder.org/robots.txt",true,"null",true,robots.txt
uspreventiveservicestaskforce.org,"Department of Health and Human Services",200,"https://www.uspreventiveservicestaskforce.org/robots.txt",true,"null",true,robots.txt
bonds4jobs.com,"Department of Labor",200,"https://bonds4jobs.com/robots.txt",true,"https://bonds4jobs.com/sitemap_index.xml",true,robots.txt
cdmdashboard.com,"Department of Homeland Security",500,"http://www.cdmdashboard.com/",false,"null",false,undefined
thesisterstudy.org,"Department of Health and Human Services",500,"http://www.thesisterstudy.org/",false,"null",false,undefined
thehearttruth.org,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/education/heart-truth/CHW",false,"null",false,false
thehearttruth.net,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth",false,"null",false,false
thehearttruth.com,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/education/heart-truth/CHW",false,"null",false,false
scienceforum.sc,"Department of Health and Human Services",500,"http://www.scienceforum.sc/",false,"null",false,undefined
jobcorps.org,"Department of Labor",200,"https://www.jobcorps.gov/",false,"null",false,false
quehacerahora.org,"Department of Health and Human Services",500,"http://www.quehacerahora.org/",false,"null",false,undefined
ssbgportal.net,"Department of Health and Human Services",404,"https://ssbgportal.acf.hhs.gov/robots.txt",false,"null",false,false
pubmedcentral.us,"Department of Health and Human Services",500,"http://www.pubmedcentral.us/",false,"null",false,undefined
sisterstudy.org,"Department of Health and Human Services",500,"https://sisterstudy.niehs.nih.gov/",false,"null",false,undefined
pubmedcentral.info,"Department of Health and Human Services",500,"http://www.pubmedcentral.info/",false,"null",false,undefined
racwarehouse.org,"Department of Health and Human Services",404,"https://www.racwarehouse.org/racdw/index.action",false,"null",false,undefined
pubmed-central.org,"Department of Health and Human Services",500,"http://www.pubmed-central.org/",false,"null",false,undefined
pubmed-central.net,"Department of Health and Human Services",500,"http://www.pubmed-central.net/",false,"null",false,undefined
pubmed-central.info,"Department of Health and Human Services",500,"http://www.pubmed-central.info/",false,"null",false,undefined
qualitynet.org,"Department of Health and Human Services",200,"https://qualitynet.cms.gov/robots.txt",true,"null",true,robots.txt
pubmed-central.com,"Department of Health and Human Services",500,"http://www.pubmed-central.com/",false,"null",false,undefined
pubchem.us,"Department of Health and Human Services",500,"http://www.pubchem.us/",false,"null",false,undefined
pubchem.info,"Department of Health and Human Services",500,"http://www.pubchem.info/",false,"null",false,undefined
pubchem.biz,"Department of Health and Human Services",500,"http://www.pubchem.biz/",false,"null",false,undefined
psoppc.info,"Department of Health and Human Services",500,"http://www.psoppc.info/",false,"null",false,undefined
proteincapture.org,"Department of Health and Human Services",500,"http://www.proteincapture.org/",false,"null",false,undefined
pcorcds-ln.org,"Department of Health and Human Services",500,"http://www.pcorcds-ln.org/",false,"null",false,undefined
pccqualitymonitoring.com,"Department of Health and Human Services",500,"http://www.pccqualitymonitoring.com/",false,"null",false,undefined
phiresearchlab.org,"Department of Health and Human Services",404,"https://www.phiresearchlab.org/",false,"null",false,undefined
phs-nurse.org,"Department of Health and Human Services",404,"https://www.phs-nurse.org/robots.txt",false,"null",false,false
nlmgiftshop.net,"Department of Health and Human Services",500,"http://www.nlmgiftshop.net/",false,"null",false,undefined
presidentschallenge.org,"Department of Health and Human Services",404,"http://presidentschallenge.org/robots.txt",false,"null",false,false
nlmgiftshop.info,"Department of Health and Human Services",500,"http://www.nlmgiftshop.info/",false,"null",false,undefined
oahpmdata.net,"Department of Health and Human Services",200,"https://oahpmdata.net/ErrorPage",false,"null",false,false
nlmgiftshop.com,"Department of Health and Human Services",500,"http://www.nlmgiftshop.com/",false,"null",false,undefined
nlm.org,"Department of Health and Human Services",500,"http://www.nlm.org/",false,"null",false,undefined
