domain,agency,status,redirect,xml,items,pdfs,completion
jcmarketplace.com,"Department of Labor",200,"https://jcmarketplace.com/sitemap_index.xml",true,729,21,1
euusosh.org,"Department of Labor",200,"https://euusosh.org/sitemap.xml",true,1,0,1
epolicyworks.org,"Department of Labor",200,"https://epolicyworks.org/sitemap.xml",true,1,0,1
jctalentworks.com,"Department of Labor",404,"undefined",false,0,0,0
alx.org,"Department of Labor",202,"https://www.careeronestop.org/Credentials/default.aspx",false,0,0,1
acinet.org,"Department of Labor",202,"https://www.careeronestop.org/Toolkit/ACINet.aspx",false,0,0,1
capeyouth.org,"Department of Labor",200,"https://capeyouth.org/wp-sitemap.xml",true,1,0,1
protectivedns.net,"Department of Homeland Security",403,"undefined",false,0,0,0
cyberstorm8.com,"Department of Homeland Security",500,"undefined",false,0,0,0
vetmedinfo.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
vetmed.wiki,"Department of Health and Human Services",500,"undefined",false,0,0,0
vaccinefinder.org,"Department of Health and Human Services",403,"https://vaccinefinder.org/sitemap.xml",false,0,0,1
worklife4you.com,"Department of Health and Human Services",200,"https://www.worklife4you.com/sitemap.xml",true,0,0,0
uspreventiveservicestaskforce.org,"Department of Health and Human Services",404,"https://www.uspreventiveservicestaskforce.org/sitemap.xml",false,0,0,0
bonds4jobs.com,"Department of Labor",200,"https://bonds4jobs.com/sitemap_index.xml",true,78,0,0.9166666666666666
cdmdashboard.com,"Department of Homeland Security",500,"undefined",false,0,0,0
thesisterstudy.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
thehearttruth.org,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/education/heart-truth/CHW",false,0,0,0
thehearttruth.net,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth",false,0,0,0
thehearttruth.com,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/education/heart-truth/CHW",false,0,0,0
jobcorps.org,"Department of Labor",200,"https://www.jobcorps.gov/",false,0,0,0
scienceforum.sc,"Department of Health and Human Services",500,"undefined",false,0,0,0
quehacerahora.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
ssbgportal.net,"Department of Health and Human Services",404,"https://ssbgportal.acf.hhs.gov/sitemap.xml",false,0,0,0
pubmedcentral.us,"Department of Health and Human Services",500,"undefined",false,0,0,0
sisterstudy.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubmedcentral.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
racwarehouse.org,"Department of Health and Human Services",404,"undefined",false,0,0,0
pubmed-central.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubmed-central.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
qualitynet.org,"Department of Health and Human Services",200,"https://qualitynet.cms.gov/sitemap.xml",false,0,0,1
pubmed-central.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubmed-central.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubchem.us,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubchem.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
pubchem.biz,"Department of Health and Human Services",500,"undefined",false,0,0,0
psoppc.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
proteincapture.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
pcorcds-ln.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
pccqualitymonitoring.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
phiresearchlab.org,"Department of Health and Human Services",404,"undefined",false,0,0,0
phs-nurse.org,"Department of Health and Human Services",404,"https://www.phs-nurse.org/sitemap.xml",false,0,0,1
nlmgiftshop.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
presidentschallenge.org,"Department of Health and Human Services",404,"http://presidentschallenge.org/sitemap.xml",false,0,0,0
nlmgiftshop.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
oahpmdata.net,"Department of Health and Human Services",200,"https://oahpmdata.net/ErrorPage",false,0,0,0
nlmgiftshop.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
nlm.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
pccds-ln.org,"Department of Health and Human Services",200,"https://pccds-ln.org/sitemap.xml",true,1,0,1
nlm.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
nihseniorhealth.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
nihseniorhealth.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
nihseniorhealth.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
nihseniorhealth.biz,"Department of Health and Human Services",500,"undefined",false,0,0,0
nih.com,"Department of Health and Human Services",200,"https://www.nih.gov/",false,0,0,0
ncihub.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
nci-fyi.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
nhlbiwgs.org,"Department of Health and Human Services",404,"https://topmed.nhlbi.nih.gov/sitemap.xml",false,0,0,0
ncats.io,"Department of Health and Human Services",200,"https://ncats.nih.gov/",false,0,0,0
mesh.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
mepstech.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
nihseniorhealth.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
namrs.net,"Department of Health and Human Services",404,"https://namrs.net/sitemap.xml",false,0,0,1
ncands.net,"Department of Health and Human Services",200,"https://ncands.acf.hhs.gov/Account/Login?ReturnUrl=%2F",false,0,0,0
sitenv.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlneplus.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlineplus.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
mepsdocs.org,"Department of Health and Human Services",404,"https://mepsdocs.org/sitemap.xml",false,0,0,0
medlineplus.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlneplus.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlineplus.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlars.us,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlars.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlars.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlars.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
medlars.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
medicalbillrights.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
medicalbillrights.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
medicalbillrights.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
loansomedoc.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
loansomedoc.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
informationrx.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
informationrx.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
howrightnow.org,"Department of Health and Human Services",403,"undefined",false,0,0,0
howrightnow.online,"Department of Health and Human Services",500,"undefined",false,0,0,0
howrightnow.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
hfpp-ttp.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
hcgov.us,"Department of Health and Human Services",200,"https://hcgov.us/sitemap.xml",true,1,0,1
igm.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
hapmap.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
hearttruth.com,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/education/heart-truth/CHW",false,0,0,0
hearttruth.net,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth",false,0,0,0
hearttruth.org,"Department of Health and Human Services",200,"https://www.nhlbi.nih.gov/health-topics/education-and-awareness/heart-truth",false,0,0,0
gratefulmed.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
gratefulmed.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
genbank.xyz,"Department of Health and Human Services",500,"undefined",false,0,0,0
genbank.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
gratefulmed.info,"Department of Health and Human Services",500,"undefined",false,0,0,0
genbank.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
