domain,agency,status,redirect,https,dot_gov,www
wallertexas.gov,"City of Waller, TX",200,"https://www.wallertexas.gov/",true,true,false
cityofwebster.com,"City of Webster, TX",200,"https://cityofwebster.com/",true,false,false
westutx.gov,"City of West University Place, TX",200,"https://westutx.gov/",true,true,false
taylorlakevillage.us,"City of Taylor Lake Village, TX",200,"http://www.taylorlakevillage.us/",false,false,false
staffordtx.gov,"City of Stafford, TX",200,"https://staffordtx.gov/",true,true,false
springvalleytx.com,"City of Spring Valley Village, TX",200,"https://springvalleytx.com/",true,false,false
southhoustontx.gov,"City of South Houston, TX",200,"https://southhoustontx.gov/",true,true,false
shoreacrestx.us,"City of Shoreacres, TX",200,"https://www.shoreacrestx.us/",true,false,true
seabrooktx.gov,"City of Seabrook, TX",200,"https://seabrooktx.gov/",true,true,false
cityofpineypoint.com,"City of Piney Point Village, TX",200,"https://www.cityofpineypoint.com/",true,false,true
nassaubay.com,"City of Nassau Bay, TX",200,"https://nassaubay.com/",true,false,false
cityofkaty.com,"City of Katy, TX",200,"https://www.cityofkaty.com/",true,false,true
morganspoint-tx.com,"City of Morgan’s Point, TX",200,"https://www.morganspoint-tx.com/",true,false,true
jerseyvillagetx.com,"City of Jersey Village, TX",200,"https://www.jerseyvillagetx.com/",true,false,true
jacintocity-tx.gov,"City of Jacinto City, TX",200,"https://www.jacintocity-tx.gov/",true,true,true
hilshirevillagetexas.com,"City of Hilshire Village, TX",200,"https://www.hilshirevillagetexas.com/",true,false,true
cityofhunterscreek.com,"City of Hunters Creek Village, TX",200,"https://cityofhunterscreek.com/",true,false,false
thecityofhedwigvillage.com,"City of Hedwig Village, TX",200,"https://www.thecityofhedwigvillage.com/",true,false,false
cityofgalenapark-tx.gov,"City of Galena Park, TX",200,"https://cityofgalenapark-tx.gov/",true,true,false
ellago-tx.gov,"City of El Lago, TX",200,"https://ellago-tx.gov/",true,true,true
bellairetx.gov,"City of Bellaire, TX",200,"https://bellairetx.gov/",true,true,false
cityofhumbletx.gov,"City of Humble, TX",200,"https://www.cityofhumbletx.gov/",true,true,true
waste.gov,"Executive Office of the President",200,"https://waste.gov/",true,true,true
dei.gov,"Executive Office of the President",200,"https://waste.gov/",true,true,true
laportetx.gov,"City of LaPorte, TX",200,"https://laportetx.gov/",true,true,false
missouricitytx.gov,"City of Missouri, TX",200,"https://missouricitytx.gov/",true,true,false
ci.friendswood.tx.us,"City of Friendswood, TX",200,"https://ci.friendswood.tx.us/",true,false,false
deerparktx.gov,"City of Deer Park, TX",200,"https://deerparktx.gov/",true,true,false
harriscountytx.gov,"City of Harris County, TX",200,"https://www.harriscountytx.gov/",true,true,true
baytown.org,"City of Baytown, TX",200,"https://baytown.org/",true,false,false
doge.gov,"Department of Government Efficiency",200,"https://doge.gov/",true,true,false
solanocounty.gov,"County of Solano, CA",200,"https://solanocounty.gov/",true,true,false
eugene-or.gov,"City of Eugene, OR",200,"https://eugene-or.gov/",true,true,false
piedmont.ca.gov,"City of Piedmont, CA",200,"https://piedmont.ca.gov/",true,true,false
cityofsouthfultonga.gov,"City of South Fulton, GA",200,"https://www.cityofsouthfultonga.gov/",true,true,false
chicago.gov,"City of Chicago, IL",200,"https://www.chicago.gov/city/en.html",true,true,true
yumaaz.gov,"City of Yuma, AZ",200,"https://www.yumaaz.gov/",true,true,true
yonkersny.gov,"City of Yonkers, NY",200,"https://www.yonkersny.gov/",true,true,true
worcesterma.gov,"City of Worcester, MA",200,"https://www.worcesterma.gov/",true,true,true
wichita.gov,"City of Wichita, KS",200,"https://www.wichita.gov/",true,true,true
wilmingtonnc.gov,"City of Wilmington, NC",200,"https://www.wilmingtonnc.gov/Home",true,true,true
wichitafallstx.gov,"City of Wichita Falls, TX",200,"https://wichitafallstx.gov/",true,true,false
warrenmi.gov,"City of Warren, MI",200,"https://www.cityofwarren.org/",true,false,true
walkermi.gov,"City of Grand Rapids, MI",200,"https://walkermi.gov/",true,true,false
waco-texas.com,"City of Waco, TX",200,"https://www.waco-texas.com/Home",true,false,true
visalia.gov,"City of Visalia, CA",200,"https://www.visalia.city/",true,false,true
victorvilleca.gov,"City of Victorville, CA",200,"https://www.victorvilleca.gov/",true,true,true
cityofvancouver.us,"City of Vancouver, WA",200,"https://www.cityofvancouver.us/",true,false,true
virginiabeach.gov,"City of Virginia Beach, VA",200,"https://virginiabeach.gov/",true,true,false
tylertexas.gov,"City of Tyler, TX",400,"http://www.tylertexas.gov/",false,true,false
vallejo.gov,"City of Vallejo, CA",200,"https://www.vallejo.gov/",true,true,true
tuscaloosa-al.gov,"City of Tuscaloosa, AL",200,"https://www.tuscaloosa.com/",true,false,true
topeka.org,"City of Topeka, KS",200,"https://www.topeka.org/",true,false,false
